SCEDTimestamp,RepeatedHourFlag,ElectricalBus,LMP
01/19/2016 09:55:12,N,AMNCOWD_8,       16.56
01/19/2016 09:55:12,N,AMOCOOIL_E_1,       16.30
01/19/2016 09:55:12,N,AMOCOOIL_E_2,       16.30
01/19/2016 09:55:12,N,AMOCOOIL_K,       16.30
01/19/2016 09:55:12,N,AMOCOOI_BB2,       16.30
01/19/2016 09:55:12,N,AMOCO_9X,       16.53
01/19/2016 09:55:12,N,AMOMIDFM_8,       16.55
01/19/2016 09:55:12,N,AMOMIDFM_8Y,       16.55
01/19/2016 09:55:12,N,AMOMIDFM_8Z,       16.55
01/19/2016 09:55:12,N,AMOSFOST_8,       16.56
01/19/2016 09:55:12,N,AMOSFOST_8Z,       16.56
01/19/2016 09:55:12,N,AMO_AMOCO_1,       16.30
01/19/2016 09:55:12,N,AMO_AMOCO_2,       16.30
01/19/2016 09:55:12,N,AMO_AMOCO_5,       16.30
01/19/2016 09:55:12,N,AMO_AMOCO_G1,       16.30
01/19/2016 09:55:12,N,AMO_AMOCO_G2,       16.30
01/19/2016 09:55:12,N,AMO_AMOCO_G3,       16.30
01/19/2016 09:55:12,N,AMO_AMOCO_S1,       16.30
01/19/2016 09:55:12,N,AMO_AMOCO_S2,       16.30
01/19/2016 09:55:12,N,AM_K,       16.30
01/19/2016 09:55:12,N,AM_KD,       16.30
01/19/2016 09:55:12,N,AM_MFG1_8,       16.48
01/19/2016 09:55:12,N,ANA,       19.32
01/19/2016 09:55:12,N,ANARENE1_9X,       16.50
01/19/2016 09:55:12,N,ANA_LINE,       19.32
01/19/2016 09:55:12,N,ANA_LOAD,       19.32
01/19/2016 09:55:12,N,ANDERSON_A,       16.71
01/19/2016 09:55:12,N,ANDERSON_L_A,       16.71
01/19/2016 09:55:12,N,ANDERSON_V_A,       16.71
01/19/2016 09:55:12,N,ANDRD_K,       16.55
01/19/2016 09:55:12,N,ANDREWS_9,       16.55
01/19/2016 09:55:12,N,ANETA,       16.48
01/19/2016 09:55:12,N,ANGUSVAL,       16.49
01/19/2016 09:55:12,N,ANGUSVALZ,       16.49
01/19/2016 09:55:12,N,ANNASW_5,       16.48
01/19/2016 09:55:12,N,ANNASW_5A,       16.48
01/19/2016 09:55:12,N,ANNASW_5Y,       16.48
01/19/2016 09:55:12,N,ANNASW_8,       16.48
01/19/2016 09:55:12,N,ANNASW_N5,       16.48
01/19/2016 09:55:12,N,ANNASW_S8,       16.48
